,Broad_Bean_Origin
0,Sao Tome
1,Togo
2,Togo
3,Togo
4,Peru
5,Venezuela
6,Cuba
7,Venezuela
8,Venezuela
9,Peru
10,Panama
11,Madagascar
12,Brazil
13,Ecuador
14,Colombia
15,Burma
16,Papua New Guinea
17,Venezuela
18,Peru
19,Peru
20,Peru
21,Bolivia
22,Peru
23,Peru
24,Peru
25,Fiji
26,Fiji
27,Fiji
28,Fiji
29,Ecuador
30,Ecuador
31,Mexico
32,Indonesia
33,Madagascar
34,Brazil
35,Trinidad
36,Vietnam
37,Madagascar
38,Venezuela
39,Peru
40,Ecuador
41,Nicaragua
42,Vietnam
43,Tanzania
44,Nicaragua
45,Peru
46,Bolivia
47,Peru
48,Ecuador
49,Venezuela
50,Dominican Republic
51,Bolivia
52,Bolivia
53,Peru
54,Papua New Guinea
55,Dominican Republic
56,Ecuador
57,Venezuela
58,Venezuela
59,Indonesia
60,Madagascar
61,Venezuela
62,Venezuela
63,Ghana
64,Ecuador
65,Ecuador
66,Ghana
67,Peru
68,Peru
69,Belize
70,Madagascar
71,Dominican Republic
72,Papua New Guinea
73,Venezuela
74,Peru
75,Peru
76,Venezuela
77,unspecified
78,Venezuela
79,Ecuador
80,Jamaica
81,Grenada
82,Venezuela
83,Madagascar
84,Trinidad
85,unspecified
86,unspecified
87,unspecified
88,Brazil
89,Brazil
90,Brazil
91,Brazil
92,Brazil
93,Dominican Republic
94,Bolivia
95,Madagascar
96,Mexico
97,Ecuador
98,Venezuela
99,Trinidad
100,Tanzania
101,Vietnam
102,Ecuador
103,Ecuador
104,Guatemala
105,Nicaragua
106,Honduras
107,Costa Rica
108,Peru
109,Dominican Republic
110,Fiji
111,Vietnam
112,Brazil
113,Peru
114,Ecuador
115,Domincan Republic
116,Belize
117,Nicaragua
118,Brazil
119,Guatemala
120,Ecuador
121,Trinidad
122,Colombia
123,Haiti
124,Panama
125,Venezuela
126,Jamaica
127,Costa Rica
128,Vietnam
129,Indonesia
130,Venezuela
131,Indonesia
132,Brazil
133,Madagascar
134,Peru
135,Dominican Republic
136,Congo
137,Colombia
138,Tanzania
139,Tanzania
140,Honduras
141,Philippines
142,Mexico
143,Ecuador
144,unspecified
145,Papua New Guinea
146,Madagascar
147,Brazil
148,unspecified
149,Peru
150,Peru
151,Brazil
152,Peru
153,Dominican Republic
154,Mexico
155,Madagascar
156,Costa Rica
157,Domincan Republic
158,Brazil
159,Ecuador
160,Malaysia
161,Malaysia
162,Brazil
163,Domincan Republic
164,Ecuador
165,Ecuador
166,Costa Rica
167,Papua New Guinea
168,Peru
169,Ecuador
170,Tanzania
171,Bolivia
172,Domincan Republic
173,Belize
174,Belize
175,Belize
176,Cuba
177,Venezuela
178,Venezuela
179,Ecuador
180,Indonesia
181,Madagascar
182,unspecified
183,Madagascar
184,Venezuela
185,Venezuela
186,Ecuador
187,Venezuela
188,Venezuela
189,Indonesia
190,Venezuela
191,Nicaragua
192,Costa Rica
193,Costa Rica
194,Belize
195,Ghana
196,Indonesia
197,"Dominican Rep., Bali"
198,Indonesia
199,Madagascar
200,Venezuela
201,Dominican Republic
202,Dominican Republic
203,Madagascar
204,Madagascar
205,Madagascar
206,Panama
207,Dominican Republic
208,Ghana
209,Dominican Republic
210,Venezuela
211,Nicaragua
212,Jamaica
213,Congo
214,unspecified
215,Madagascar
216,Guatemala
217,Tanzania
218,Dominican Republic
219,Guatemala
220,Madagascar
221,Mexico
222,Brazil
223,Dominican Republic
224,"Venez,Africa,Brasil,Peru,Mex"
225,Brazil
226,Gabon
227,Cuba
228,Peru
229,Peru
230,Brazil
231,Haiti
232,Madagascar
233,Brazil
234,Jamaica
235,Côte d'Ivoire
236,Peru
237,Mexico
238,Mexico
239,Venezuela
240,Ecuador
241,Carribean
242,Venezuela
243,Venezuela
244,Madagascar
245,unspecified
246,Sri Lanka
247,Venezuela
248,Ecuador
249,Ecuador
250,Belize
251,Dominican Republic
252,Venezuela
253,Nicaragua
254,Dominican Republic
255,Belize
256,Venezuela
257,Dominican Republic
258,Ecuador
259,Ghana
260,Venezuela
261,Dominican Republic
262,Dominican Republic
263,Guatemala
264,Madagascar
265,Belize
266,Madagascar
267,Jamaica
268,Madagascar
269,Dominican Republic
270,Ecuador
271,Trinidad
272,Ecuador
273,Dominican Republic
274,Trinidad
275,Ecuador
276,Belize
277,unspecified
278,Ecuador
279,Puerto Rico
280,Peru
281,Dominican Republic
282,Dominican Republic
283,Venezuela
284,Haiti
285,Dominican Republic
286,Tanzania
287,Venezuela
288,Mexico
289,Venezuela
290,Venezuela
291,Venezuela
292,Venezuela
293,Venezuela
294,Venezuela
295,Venezuela
296,Colombia
297,Colombia
298,Colombia
299,Colombia
300,Colombia
301,Colombia
302,Colombia
303,Honduras
304,Dominican Republic
305,Dominican Republic
306,Dominican Republic
307,Dominican Republic
308,Congo
309,Madagascar
310,Ecuador
311,Papua New Guinea
312,Grenada
313,Venezuela
314,Venezuela
315,Mexico
316,Mexico
317,Madagascar
318,Peru
319,Vietnam
320,Peru
321,Ecuador
322,Ecuador
323,Ecuador
324,Ecuador
325,Grenada
326,Ecuador
327,Cuba
328,Dominican Republic
329,unspecified
330,Ecuador
331,Venezuela
332,Sao Tome
333,Trinidad
334,Venezuela
335,Tanzania
336,Venezuela
337,Bolivia
338,Brazil
339,Ecuador
340,Ecuador
