Company,Bean_Origin_or_Bar_Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Bean_Origin_Country,Ingredients,Most_Memorable_Characteristics,continent
A. Morin,Agua Grande,1876,2016,63.0,France,3.75,missing,Sao Tome & Principe,"4- B,S,C,L","sweet, chocolatey, vegetal",Africa
A. Morin,Kpime,1676,2015,70.0,France,2.75,missing,Togo,"4- B,S,C,L","burnt wood, earthy, choco",Africa
A. Morin,Atsane,1676,2015,70.0,France,3.0,missing,Togo,"4- B,S,C,L","roasty, acidic, nutty",Africa
A. Morin,Akata,1680,2015,70.0,France,3.5,missing,Togo,"4- B,S,C,L","mild profile, chocolaty, spice",Africa
A. Morin,Quilla,1704,2015,70.0,France,3.5,missing,Peru,"4- B,S,C,L","grainy texture, cocoa, sweet",South America
A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela,Unknown,missing,South America
A. Morin,Cuba,1315,2014,70.0,France,3.5,missing,Cuba,"4- B,S,C,L","sliglty dry, papaya",Caribbean
A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,Venezuela,Unknown,missing,South America
A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela,Unknown,missing,South America
A. Morin,Pablino,1319,2014,70.0,France,4.0,missing,Peru,"4- B,S,C,L","delicate, hazelnut, brownie",South America
A. Morin,Panama,1011,2013,70.0,France,2.75,missing,Panama,"4- B,S,C,L","brief fruit note, earthy, nutty",Central America
A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar,Unknown,missing,Africa
A. Morin,Brazil,1011,2013,70.0,France,3.25,missing,Brazil,"4- B,S,C,L",mild tobacco,South America
A. Morin,Equateur,1011,2013,70.0,France,3.75,missing,Ecuador,"4- B,S,C,L","sandy, nutty, cocoa, fig",South America
A. Morin,Colombie,1015,2013,70.0,France,2.75,missing,Colombia,"4- B,S,C,L","burnt rubber,alkalyzed notes",South America
A. Morin,Birmanie,1015,2013,70.0,France,3.0,missing,Myanmar,"4- B,S,C,L","sticky, smokey, grass",Asia
A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,missing,Papua New Guinea,"4- B,S,C,L","mild fruit, strong smoke",Oceania
A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela,"4- B,S,C,L","oily, nut, caramel, raspberry",South America
A. Morin,Piura,1019,2013,70.0,France,3.25,missing,Peru,"4- B,S,C,L","green, nutty, cocoa",South America
A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,missing,Peru,"4- B,S,C,L","cocoa,sour,intense tangerine",South America
A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,missing,Peru,"3- B,S,C","sweet, cocoa, tangerine",South America
A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,missing,Peru,"4- B,S,C,L","cocoa,sour,intense tangerine",South America
A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,missing,Peru,"3- B,S,C","sweet, cocoa, tangerine",South America
A. Morin,Bolivia,797,2012,70.0,France,3.5,missing,Bolivia,"4- B,S,C,L","vegetal, nutty",South America
A. Morin,Peru,797,2012,63.0,France,3.75,missing,Peru,"4- B,S,C,L","fruity, melon, roasty",South America
Acalli,"Chulucanas, El Platanal",1462,2015,70.0,United States of America,3.75,missing,Peru,Unknown,missing,South America
Acalli,"Tumbes, Norandino",1470,2015,70.0,United States of America,3.75,Criollo,Peru,"2- B,S","intense, nutty, cherry, cocoa",South America
Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,"3- B,S,C","sweet, sublte strawberry",Oceania
Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,"3- B,S,C","orange, floral, lemon",Oceania
Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,Trinitario,Fiji,"3- B,S,C",spicy and candy-like,Oceania
Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji,"3- B,S,C","sweet, sublte strawberry",Oceania
Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji,"3- B,S,C","orange, floral, lemon",Oceania
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,Trinitario,Fiji,"3- B,S,C",cocoa and powerful tang,Oceania
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero,Ecuador,"4- B,S,C,V","sandy, sweet, banana cream",South America
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero,Ecuador,"4- B,S,C,V","roasty, nutty, coffee",South America
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero,Ecuador,"4- B,S,C,V","sandy, sweet, banana cream",South America
