Company,Bean_Origin_or_Bar_Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Bean_Origin,Ingredients,Most_Memorable_Characteristics,country_code,latitude,longitude,continent
A. Morin,Agua Grande,1876,2016,63.0,France,3.75,missing,Sao Tome & Principe,"4- B,S,C,L","sweet, chocolatey, vegetal",ST,0.18636,6.613081,Africa
A. Morin,Kpime,1676,2015,70.0,France,2.75,missing,Togo,"4- B,S,C,L","burnt wood, earthy, choco",TG,8.619543,0.824782,Africa
A. Morin,Atsane,1676,2015,70.0,France,3.0,missing,Togo,"4- B,S,C,L","roasty, acidic, nutty",TG,8.619543,0.824782,Africa
A. Morin,Akata,1680,2015,70.0,France,3.5,missing,Togo,"4- B,S,C,L","mild profile, chocolaty, spice",TG,8.619543,0.824782,Africa
A. Morin,Quilla,1704,2015,70.0,France,3.5,missing,Peru,"4- B,S,C,L","grainy texture, cocoa, sweet",PE,-9.189967,-75.015152,South America
A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela,Unknown,missing,VE,6.42375,-66.58973,South America
A. Morin,Cuba,1315,2014,70.0,France,3.5,missing,Cuba,"4- B,S,C,L","sliglty dry, papaya",CU,21.521757,-77.781167,Caribbean
A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,Venezuela,Unknown,missing,VE,6.42375,-66.58973,South America
A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela,Unknown,missing,VE,6.42375,-66.58973,South America
A. Morin,Pablino,1319,2014,70.0,France,4.0,missing,Peru,"4- B,S,C,L","delicate, hazelnut, brownie",PE,-9.189967,-75.015152,South America
A. Morin,Panama,1011,2013,70.0,France,2.75,missing,Panama,"4- B,S,C,L","brief fruit note, earthy, nutty",PA,8.537981,-80.782127,Central America
A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar,Unknown,missing,MG,-18.766947,46.869107,Africa
A. Morin,Brazil,1011,2013,70.0,France,3.25,missing,Brazil,"4- B,S,C,L",mild tobacco,BR,-14.235004,-51.92528,South America
A. Morin,Equateur,1011,2013,70.0,France,3.75,missing,Ecuador,"4- B,S,C,L","sandy, nutty, cocoa, fig",EC,-1.831239,-78.183406,South America
A. Morin,Colombie,1015,2013,70.0,France,2.75,missing,Colombia,"4- B,S,C,L","burnt rubber,alkalyzed notes",CO,4.570868,-74.297333,South America
A. Morin,Birmanie,1015,2013,70.0,France,3.0,missing,Myanmar,"4- B,S,C,L","sticky, smokey, grass",MM,21.913965,95.956223,Asia
A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,missing,Papua New Guinea,"4- B,S,C,L","mild fruit, strong smoke",PG,-6.314993,143.95555,Oceania
A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela,"4- B,S,C,L","oily, nut, caramel, raspberry",VE,6.42375,-66.58973,South America
A. Morin,Piura,1019,2013,70.0,France,3.25,missing,Peru,"4- B,S,C,L","green, nutty, cocoa",PE,-9.189967,-75.015152,South America
A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,missing,Peru,"4- B,S,C,L","cocoa,sour,intense tangerine",PE,-9.189967,-75.015152,South America
A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,missing,Peru,"3- B,S,C","sweet, cocoa, tangerine",PE,-9.189967,-75.015152,South America
A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,missing,Peru,"4- B,S,C,L","cocoa,sour,intense tangerine",PE,-9.189967,-75.015152,South America
A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,missing,Peru,"3- B,S,C","sweet, cocoa, tangerine",PE,-9.189967,-75.015152,South America
A. Morin,Bolivia,797,2012,70.0,France,3.5,missing,Bolivia,"4- B,S,C,L","vegetal, nutty",BO,-16.290154,-63.588653,South America
A. Morin,Peru,797,2012,63.0,France,3.75,missing,Peru,"4- B,S,C,L","fruity, melon, roasty",PE,-9.189967,-75.015152,South America
Acalli,"Chulucanas, El Platanal",1462,2015,70.0,United States of America,3.75,missing,Peru,Unknown,missing,PE,-9.189967,-75.015152,South America
Acalli,"Tumbes, Norandino",1470,2015,70.0,United States of America,3.75,Criollo,Peru,"2- B,S","intense, nutty, cherry, cocoa",PE,-9.189967,-75.015152,South America
Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,"3- B,S,C","sweet, sublte strawberry",FJ,-16.578193,179.414413,Oceania
Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,"3- B,S,C","orange, floral, lemon",FJ,-16.578193,179.414413,Oceania
Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,Trinitario,Fiji,"3- B,S,C",spicy and candy-like,FJ,-16.578193,179.414413,Oceania
Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji,"3- B,S,C","sweet, sublte strawberry",FJ,-16.578193,179.414413,Oceania
Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji,"3- B,S,C","orange, floral, lemon",FJ,-16.578193,179.414413,Oceania
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,Trinitario,Fiji,"3- B,S,C",cocoa and powerful tang,FJ,-16.578193,179.414413,Oceania
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero,Ecuador,"4- B,S,C,V","sandy, sweet, banana cream",EC,-1.831239,-78.183406,South America
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero,Ecuador,"4- B,S,C,V","roasty, nutty, coffee",EC,-1.831239,-78.183406,South America
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero,Ecuador,"4- B,S,C,V","sandy, sweet, banana cream",EC,-1.831239,-78.183406,South America
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero,Ecuador,"4- B,S,C,V","roasty, nutty, coffee",EC,-1.831239,-78.183406,South America
Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,Criollo,Mexico,"3- B,S,C","gritty, spice, cocoa",MX,23.634501,-102.552784,North America
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75.0,Switzerland,3.75,Trinitario,Indonesia,"4- B,S,C,L","hay, nut, berry",ID,-0.789275,113.921327,Asia
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.0,Switzerland,2.75,Criollo,Madagascar,"4- B,S,C,L","strong pepper, musty",MG,-18.766947,46.869107,Africa
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75.0,Switzerland,2.75,Forastero,Brazil,"4- B,S,C,L","fatty, intense, woody",BR,-14.235004,-51.92528,South America
Alain Ducasse,Trinite,1215,2014,65.0,France,2.75,Trinitario,Trinidad Tobago,"6-B,S,C,V,L,Sa","roasty, sweet, savory",TT,10.691803,-61.222503,Caribbean
Alain Ducasse,Vietnam,1215,2014,75.0,France,2.75,Trinitario,Vietnam,"5-B,S,C,V,Sa","nutty, roasty, odd dairy",VN,14.058324,108.277199,Asia
Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,Trinitario,Madagascar,"5-B,S,C,V,Sa","citrus, fatty, dairy",MG,-18.766947,46.869107,Africa
Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,Trinitario,Venezuela,"5- B,S,C,V,L","sandy, dirt, ashey",VE,6.42375,-66.58973,South America
Alain Ducasse,"Piura, Perou",1173,2013,75.0,France,2.5,missing,Peru,"5- B,S,C,V,L","cardboard, dirt, roasty",PE,-9.189967,-75.015152,South America
Alexandre,"Winak Coop, Napo",1944,2017,70.0,Netherlands,3.5,Forastero,Ecuador,"3- B,S,C","sandy, green, floral",EC,-1.831239,-78.183406,South America
Alexandre,"La Dalia, Matagalpa",1944,2017,70.0,Netherlands,3.5,Criollo,Nicaragua,"3- B,S,C","sandy, sweet, nibby",NI,12.865416,-85.207229,Central America
Alexandre,Tien Giang,1944,2017,70.0,Netherlands,3.5,Trinitario,Vietnam,"3- B,S,C","sandy, sweet, roasty",VN,14.058324,108.277199,Asia
Alexandre,"Makwale Village, Kyela",1944,2017,70.0,Netherlands,3.5,Forastero,Tanzania,"3- B,S,C","sandy, melon, banana",TZ,-6.369028,34.888822,Africa
Altus aka Cao Artisan,Momotombo,1728,2016,60.0,United States of America,2.75,missing,Nicaragua,"3- B,S,C","powdery, sweet, molasses",NI,12.865416,-85.207229,Central America
Altus aka Cao Artisan,Acopagro,1728,2016,60.0,United States of America,3.0,missing,Peru,"3- B,S,C","dry, sweet, caramel",PE,-9.189967,-75.015152,South America
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.0,United States of America,2.5,missing,Bolivia,"3- B,S,C","sandy, sweet, pungent",BO,-16.290154,-63.588653,South America
Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,United States of America,2.5,missing,Peru,"3- B,S,C","sandy, sweet, sour, off",PE,-9.189967,-75.015152,South America
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,United States of America,2.75,missing,Ecuador,"3- B,S,C","sandy, nutty, earthy, roasty",EC,-1.831239,-78.183406,South America
Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,United States of America,2.5,missing,Venezuela,"4- B,S,C,L","sweet, moldy, off",VE,6.42375,-66.58973,South America
Altus aka Cao Artisan,Conacado,1125,2013,60.0,United States of America,3.0,Trinitario,Dominican Republic,Unknown,missing,DO,18.735693,-70.162651,Caribbean
Altus aka Cao Artisan,Bolivia,1129,2013,80.0,United States of America,3.25,missing,Bolivia,Unknown,missing,BO,-16.290154,-63.588653,South America
Altus aka Cao Artisan,Bolivia,1133,2013,60.0,United States of America,3.0,missing,Bolivia,Unknown,missing,BO,-16.290154,-63.588653,South America
Altus aka Cao Artisan,Peru,1133,2013,60.0,United States of America,3.25,missing,Peru,Unknown,missing,PE,-9.189967,-75.015152,South America
Amano,Morobe,725,2011,70.0,United States of America,4.0,missing,Papua New Guinea,"4- B,S,C,V","tart, lemon, smoke",PG,-6.314993,143.95555,Oceania
Amano,Dos Rios,470,2010,70.0,United States of America,3.75,missing,Dominican Republic,"4- B,S,C,V","orange, cinamon",DO,18.735693,-70.162651,Caribbean
Amano,Guayas,470,2010,70.0,United States of America,4.0,missing,Ecuador,"4- B,S,C,V","strong spice, intense pepper",EC,-1.831239,-78.183406,South America
Amano,Chuao,544,2010,70.0,United States of America,3.0,Trinitario,Venezuela,"4- B,S,C,V","woody, red berry, sour",VE,6.42375,-66.58973,South America
Amano,Montanya,363,2009,70.0,United States of America,3.0,missing,Venezuela,"4- B,S,C,V","hot spice, roasty",VE,6.42375,-66.58973,South America
Amano,"Bali, Jembrana",304,2008,70.0,United States of America,2.75,missing,Indonesia,"4- B,S,C,V","sticky, nutty, high acidity",ID,-0.789275,113.921327,Asia
Amano,Madagascar,129,2007,70.0,United States of America,3.5,Trinitario,Madagascar,"4- B,S,C,V","spice, nut, cocoa, fruit",MG,-18.766947,46.869107,Africa
Amano,Cuyagua,147,2007,70.0,United States of America,3.0,missing,Venezuela,"4- B,S,C,V","waxy, nutty, mint",VE,6.42375,-66.58973,South America
Amano,Ocumare,175,2007,70.0,United States of America,3.75,Criollo,Venezuela,"4- B,S,C,V","spicy, strawberry",VE,6.42375,-66.58973,South America
Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,Forastero,Ghana,"2- B,S","dry, chalky, fudge-like",GH,7.946527,-1.023194,Africa
Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75,missing,Ecuador,"2- B,S","waxy mouthfeel, spicy",EC,-1.831239,-78.183406,South America
Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75,missing,Ecuador,"2- B,S","fatty, mushroom, off notes",EC,-1.831239,-78.183406,South America
Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,Forastero,Ghana,"2- B,S","roasty,oddly sweet,marshmallow",GH,7.946527,-1.023194,Africa
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72.0,Peru,3.25,missing,Peru,"3- B,S,C","oily, vanilla, melon, cocoa",PE,-9.189967,-75.015152,South America
