Company,Bean_Origin_or_Bar_Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Bean_Origin_Country,Ingredients,Most_Memorable_Characteristics,continent,country_code,latitude,longitude
A. Morin,Agua Grande,1876,2016,63.0,France,3.75,missing,Sao Tome & Principe,"4- B,S,C,L","sweet, chocolatey, vegetal",Africa,ST,0.18636,6.613081
A. Morin,Kpime,1676,2015,70.0,France,2.75,missing,Togo,"4- B,S,C,L","burnt wood, earthy, choco",Africa,TG,8.619543,0.824782
A. Morin,Atsane,1676,2015,70.0,France,3.0,missing,Togo,"4- B,S,C,L","roasty, acidic, nutty",Africa,TG,8.619543,0.824782
A. Morin,Akata,1680,2015,70.0,France,3.5,missing,Togo,"4- B,S,C,L","mild profile, chocolaty, spice",Africa,TG,8.619543,0.824782
A. Morin,Quilla,1704,2015,70.0,France,3.5,missing,Peru,"4- B,S,C,L","grainy texture, cocoa, sweet",South America,PE,-9.189967,-75.015152
A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela,Unknown,missing,South America,VE,6.42375,-66.58973
A. Morin,Cuba,1315,2014,70.0,France,3.5,missing,Cuba,"4- B,S,C,L","sliglty dry, papaya",Caribbean,CU,21.521757,-77.781167
A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,Venezuela,Unknown,missing,South America,VE,6.42375,-66.58973
A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela,Unknown,missing,South America,VE,6.42375,-66.58973
A. Morin,Pablino,1319,2014,70.0,France,4.0,missing,Peru,"4- B,S,C,L","delicate, hazelnut, brownie",South America,PE,-9.189967,-75.015152
A. Morin,Panama,1011,2013,70.0,France,2.75,missing,Panama,"4- B,S,C,L","brief fruit note, earthy, nutty",Central America,PA,8.537981,-80.782127
A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar,Unknown,missing,Africa,MG,-18.766947,46.869107
A. Morin,Brazil,1011,2013,70.0,France,3.25,missing,Brazil,"4- B,S,C,L",mild tobacco,South America,BR,-14.235004,-51.92528
A. Morin,Equateur,1011,2013,70.0,France,3.75,missing,Ecuador,"4- B,S,C,L","sandy, nutty, cocoa, fig",South America,EC,-1.831239,-78.183406
A. Morin,Colombie,1015,2013,70.0,France,2.75,missing,Colombia,"4- B,S,C,L","burnt rubber,alkalyzed notes",South America,CO,4.570868,-74.297333
A. Morin,Birmanie,1015,2013,70.0,France,3.0,missing,Myanmar,"4- B,S,C,L","sticky, smokey, grass",Asia,MM,21.913965,95.956223
A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,missing,Papua New Guinea,"4- B,S,C,L","mild fruit, strong smoke",Oceania,PG,-6.314993,143.95555
A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela,"4- B,S,C,L","oily, nut, caramel, raspberry",South America,VE,6.42375,-66.58973
A. Morin,Piura,1019,2013,70.0,France,3.25,missing,Peru,"4- B,S,C,L","green, nutty, cocoa",South America,PE,-9.189967,-75.015152
A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,missing,Peru,"4- B,S,C,L","cocoa,sour,intense tangerine",South America,PE,-9.189967,-75.015152
